ccn,facility_name,county_fips,state_abbr,county_name,county_name_norm,zip_code,certified_beds,avg_residents,overall_rating,latitude,longitude
335448,QUEENS NASSAU REHABILITATION AND NURSING CENTER,,NY,Queens,QUEENS,11691,200,194.8,2,40.6,-73.752
335449,ACHIEVE REHAB AND NURSING FACILITY,,NY,Sullivan,SULLIVAN,12754,140,133.1,2,41.7949,-74.751
335451,GOLDEN HILL NURSING AND REHABILITATION CENTER,,NY,Ulster,ULSTER,12401,280,253.2,3,41.9168,-74.022
335455,CARMEL RICHMOND HEALTHCARE AND REHAB CENTER,,NY,Richmond,RICHMOND,10304,300,267.6,5,40.5963,-74.091
335457,FIDDLERS GREEN MANOR REHAB AND NURSING CENTER,,NY,Erie,ERIE,14141,82,75.6,1,42.5088,-78.674
335458,The Grand Rehabilitation and Nursing At Pawling,,NY,Dutchess,DUTCHESS,12564,122,114.4,1,41.5755,-73.588
335459,WESTCHESTER CENTER FOR REHABILITATION & NURSING,,NY,Westchester,WESTCHESTER,10550,240,231.0,2,40.9122,-73.826
335461,NEW GOUVERNEUR HOSPITAL S N F,,NY,New York,NEW YORK,10002,295,281.5,5,40.7128,-73.988
335462,THE PLAZA REHAB AND NURSING CENTER,,NY,Bronx,BRONX,10468,305,305.0,5,40.8683,-73.901
335464,SAPPHIRE NURSING AT MEADOW HILL,,NY,Orange,ORANGE,12550,190,185.6,4,41.5215,-74.078
335465,DAUGHTERS OF SARAH NURSING CENTER,,NY,Albany,ALBANY,12203,210,201.3,4,42.6916,-73.828
335466,KINGSWAY ARMS NURSING CENTER INC,,NY,Schenectady,SCHENECTADY,12304,160,153.8,4,42.7756,-73.912
335467,Crest Manor Living and Rehabilitation Center,,NY,Monroe,MONROE,14450,80,75.4,2,43.0692,-77.441
335468,BEECHWOOD HOMES,,NY,Erie,ERIE,14068,272,171.4,5,43.0097,-78.773
335470,BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,,NY,Kings,KINGS,11219,305,305.0,2,40.6389,-73.999
335471,UTICA REHABILITATION & NURSING CENTER,,NY,Oneida,ONEIDA,13501,120,109.7,1,43.0799,-75.275
335472,CENTRAL QUEENS REHAB & NURSING CENTER,,NY,Queens,QUEENS,11378,200,192.9,2,40.7257,-73.904
335473,Blossom Health Care Center Inc.,,NY,Monroe,MONROE,14610,80,75.3,1,43.1493,-77.545
335475,CHARLES T SITRIN HEALTH CARE CENTER INC,,NY,Oneida,ONEIDA,13413,188,169.5,2,43.0546,-75.229
335476,The Friendly Home,,NY,Monroe,MONROE,14618,200,170.6,4,43.1264,-77.527
335478,ESSEX CENTER FOR REHABILITATION AND HEALTHCARE,,NY,Essex,ESSEX,12932,100,91.8,2,44.2148,-73.596
335480,Chemung County Health Center - Nursing Facility,,NY,Chemung,CHEMUNG,14901,200,153.4,5,42.0912,-76.795
335481,NEWFANE REHAB & HEALTH CARE CENTER,,NY,Niagara,NIAGARA,14108,165,164.0,3,43.2831,-78.697
335482,ELDERWOOD AT TICONDEROGA,,NY,Essex,ESSEX,12883,84,79.7,2,43.8481,-73.44
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,,NY,Nassau,NASSAU,11021,214,203.8,1,40.7887,-73.722
335484,MORNINGSIDE NURSING AND REHABILITATION CENTER,,NY,Bronx,BRONX,10461,305,299.1,3,40.8568,-73.86
335485,CHAUTAUQUA NURSING AND REHABILITATION CENTER,,NY,Chautauqua,CHAUTAUQUA,14048,216,209.4,5,42.4743,-79.363
335486,PELHAM PARKWAY NURSING CARE & REHAB FACILITY L L C,,NY,Bronx,BRONX,10469,200,190.8,4,40.8611,-73.856
335487,ST JOHNLAND NURSING CENTER INC,,NY,Suffolk,SUFFOLK,11754,250,204.4,2,40.9003,-73.238
335488,Lilac Manor Rehabilitation and Nursing Center,,NY,Monroe,MONROE,14607,200,120.5,1,43.154,-77.586
