county_fips,state_abbr,county_name,county_name_norm,year,total_population,pop_65_plus,pct_pop_65_plus
01111,AL,Randolph County,RANDOLPH,2021,22157,3988,0.179988
01111,AL,Randolph County,RANDOLPH,2022,22442,4040,0.18002
01111,AL,Randolph County,RANDOLPH,2023,22789,4102,0.179999
01111,AL,Randolph County,RANDOLPH,2024,23067,4152,0.179997
01113,AL,Russell County,RUSSELL,2020,59252,10666,0.180011
01113,AL,Russell County,RUSSELL,2021,58651,10558,0.180014
01113,AL,Russell County,RUSSELL,2022,58522,10534,0.180001
01113,AL,Russell County,RUSSELL,2023,58792,10583,0.180007
01113,AL,Russell County,RUSSELL,2024,58837,10591,0.180006
01115,AL,St. Clair County,ST. CLAIR,2020,91687,16504,0.180004
01115,AL,St. Clair County,ST. CLAIR,2021,92850,16713,0.18
01115,AL,St. Clair County,ST. CLAIR,2022,93879,16898,0.179998
01115,AL,St. Clair County,ST. CLAIR,2023,95487,17188,0.180004
01115,AL,St. Clair County,ST. CLAIR,2024,96927,17447,0.180001
01117,AL,Shelby County,SHELBY,2020,223915,40304,0.179997
01117,AL,Shelby County,SHELBY,2021,227436,40938,0.179998
01117,AL,Shelby County,SHELBY,2022,230140,41425,0.179999
01117,AL,Shelby County,SHELBY,2023,233593,42046,0.179997
01117,AL,Shelby County,SHELBY,2024,235969,42474,0.179998
01119,AL,Sumter County,SUMTER,2020,12192,2194,0.179954
01119,AL,Sumter County,SUMTER,2021,11960,2153,0.180017
01119,AL,Sumter County,SUMTER,2022,11894,2141,0.180007
01119,AL,Sumter County,SUMTER,2023,11737,2112,0.179944
01119,AL,Sumter County,SUMTER,2024,11607,2089,0.179978
01121,AL,Talladega County,TALLADEGA,2020,81416,14655,0.180001
01121,AL,Talladega County,TALLADEGA,2021,80556,14501,0.180011
01121,AL,Talladega County,TALLADEGA,2022,80674,14522,0.180008
01121,AL,Talladega County,TALLADEGA,2023,81083,14595,0.180001
01121,AL,Talladega County,TALLADEGA,2024,81375,14648,0.180006
01123,AL,Tallapoosa County,TALLAPOOSA,2020,41288,7432,0.180004
01123,AL,Tallapoosa County,TALLAPOOSA,2021,41084,7395,0.179997
01123,AL,Tallapoosa County,TALLAPOOSA,2022,40910,7364,0.180005
01123,AL,Tallapoosa County,TALLAPOOSA,2023,40709,7328,0.180009
01123,AL,Tallapoosa County,TALLAPOOSA,2024,40699,7326,0.180004
01125,AL,Tuscaloosa County,TUSCALOOSA,2020,232651,41877,0.179999
01125,AL,Tuscaloosa County,TUSCALOOSA,2021,236699,42606,0.180001
01125,AL,Tuscaloosa County,TUSCALOOSA,2022,237995,42839,0.18
01125,AL,Tuscaloosa County,TUSCALOOSA,2023,239204,43057,0.180001
01125,AL,Tuscaloosa County,TUSCALOOSA,2024,241212,43418,0.179999
01127,AL,Walker County,WALKER,2020,65141,11726,0.18001
01127,AL,Walker County,WALKER,2021,64552,11620,0.18001
01127,AL,Walker County,WALKER,2022,64408,11594,0.180009
01127,AL,Walker County,WALKER,2023,64845,11672,0.179998
01127,AL,Walker County,WALKER,2024,65260,11747,0.180003
01129,AL,Washington County,WASHINGTON,2020,15331,2759,0.179962
01129,AL,Washington County,WASHINGTON,2021,15226,2740,0.179955
01129,AL,Washington County,WASHINGTON,2022,15098,2717,0.179958
01129,AL,Washington County,WASHINGTON,2023,15040,2707,0.179987
01129,AL,Washington County,WASHINGTON,2024,15018,2703,0.179984
01131,AL,Wilcox County,WILCOX,2020,10533,1896,0.180006
01131,AL,Wilcox County,WILCOX,2021,10411,1874,0.180002
01131,AL,Wilcox County,WILCOX,2022,10124,1823,0.180067
01131,AL,Wilcox County,WILCOX,2023,9925,1787,0.18005
